LngtClass,Year
3100,01/01/1996
3200,01/01/1996
2800,01/01/1996
4700,01/01/1996
5300,01/01/1996
4000,01/01/1996
6600,01/01/1996
7600,01/01/1996
3800,01/01/1996
3100,01/01/1996
4300,01/01/1996
2900,01/01/1996
3000,01/01/1996
3600,01/01/1996
4500,01/01/1996
3800,01/01/1996
4100,01/01/1996
2800,01/01/1996
2900,01/01/1996
5700,01/01/1996
4400,01/01/1996
5400,01/01/1996
5600,01/01/1996
7200,01/01/1996
4300,01/01/1996
4800,01/01/1996
3300,01/01/1996
4400,01/01/1996
4700,01/01/1996
4200,01/01/1996
4400,01/01/1996
4600,01/01/1996
4800,01/01/1996
2400,01/01/1996
3600,01/01/1996
4200,01/01/1996
4400,01/01/1996
5000,01/01/1996
2900,01/01/1996
4400,01/01/1996
4500,01/01/1996
5000,01/01/1996
7100,01/01/1996
3000,01/01/1996
5100,01/01/1996
5200,01/01/1996
8200,01/01/1996
4300,01/01/1996
3000,01/01/1996
4500,01/01/1996
4900,01/01/1996
5800,01/01/1996
4700,01/01/1996
4800,01/01/1996
4900,01/01/1996
5400,01/01/1996
3200,01/01/1996
3400,01/01/1996
4800,01/01/1996
6200,01/01/1996
5000,01/01/1996
5600,01/01/1996
3000,01/01/1996
3200,01/01/1996
4200,01/01/1996
3000,01/01/1996
3300,01/01/1996
5100,01/01/1996
4000,01/01/1996
4400,01/01/1996
4000,01/01/1996
4900,01/01/1996
6100,01/01/1996
4000,01/01/1996
4700,01/01/1996
7400,01/01/1996
2400,01/01/1996
4200,01/01/1996
2900,01/01/1996
5100,01/01/1996
5100,01/01/1996
5000,01/01/1996
4600,01/01/1996
5500,01/01/1996
1700,01/01/1996
4800,01/01/1996
4900,01/01/1996
2300,01/01/1996
2800,01/01/1996
2500,01/01/1996
2700,01/01/1996
1800,01/01/1996
2400,01/01/1996
2800,01/01/1996
1800,01/01/1996
2300,01/01/1996
2000,01/01/1996
2300,01/01/1996
2800,01/01/1996
4400,01/01/1996
4500,01/01/1996
4800,01/01/1996
5400,01/01/1996
4100,01/01/1996
4200,01/01/1996
4300,01/01/1996
6200,01/01/1996
6800,01/01/1996
2500,01/01/1996
4900,01/01/1996
5300,01/01/1996
4500,01/01/1996
5000,01/01/1996
6100,01/01/1996
1800,01/01/1996
1900,01/01/1996
2100,01/01/1996
1800,01/01/1996
1900,01/01/1996
2000,01/01/1996
2100,01/01/1996
2800,01/01/1996
2600,01/01/1996
1900,01/01/1996
1300,01/01/1996
1500,01/01/1996
4100,01/01/1996
4300,01/01/1996
2000,01/01/1996
4900,01/01/1996
3000,01/01/1996
